50.870842;20.645495
50.871437;20.642499
50.872075;20.639703
50.873179;20.637366
50.873578;20.636040
50.874090;20.634308
50.874369;20.633694
50.874545;20.633018
50.874676;20.628831
50.874961;20.626377
50.875183;20.626278
50.875321;20.626079
50.875370;20.625790
50.876282;20.624849
50.876886;20.624131
50.877423;20.623545
50.877967;20.622893
50.878428;20.622451
50.878885;20.621970
50.879098;20.621748
50.879228;20.621668
50.880755;20.620097
50.881992;20.618858
50.882650;20.618160
50.883169;20.617640
50.883125;20.617466
50.882469;20.615776
50.881111;20.614464
50.878364;20.612263
50.877699;20.611509
50.877382;20.610767
50.876310;20.609044
50.875850;20.608560
50.875817;20.608414
50.875770;20.608332
50.875648;20.608332
50.875601;20.608422
50.875591;20.608549
50.875624;20.608638
50.875679;20.608699
50.875702;20.608970
50.875723;20.609233
50.875685;20.609964
50.875634;20.610733
50.875586;20.611284
50.875517;20.612295
50.875466;20.612858
